group,n,mean_delta_cap_h30,mean_delta_q_h360,q_penalty_fraction,effective_h30_fraction
treated_migrated,238,0.0047218648991596635,-0.028642435584033617,0.6260504201680672,0.8697478991596639
treated_not_migrated,1202,0.027981013436772045,-0.06859956724459235,0.8652246256239601,0.7129783693843594
effective_migrated,207,0.006956167231884055,-0.02236814442995169,0.6280193236714976,1.0
effective_not_migrated,857,0.03994823591131855,-0.04917244089264877,0.822637106184364,1.0
