cell_id,seed,structure,capacity,support_intensity,pre_bottleneck,migrated,first_migration,delta_cap_h7,delta_cap_h30,delta_cap_h90,delta_cap_h180,delta_cap_h360,q_on_h360,q_off_h360,delta_q_h360,bott_on_h360,bott_off_h360,same_terminal_bottleneck,common_bottleneck,I_on,I_off,D_on,D_off,delta_I,delta_D,delta_log_I,delta_log_D,delta_log_q_decomp,q_off,q_on_observed,q_on_control_demand,q_off_supported_demand,observed_effect,production_only_effect,demand_only_effect,residual_nonadditivity
phase_084,2026200004,command_constrained,0.3,2.0,logistics,True,28.0,0.0014634140000000517,-0.0009897689999999182,-0.0036978899999999815,0.07738996799999998,-0.015562324000000016,0.697603281,1.0,-0.302396719,logistics,logistics,True,logistics,25321.830039128,69724.163334344,36298.324158601,34580.591744145,-44402.333295216005,1717.732414455997,-1.0128800628431052,0.04847898134319497,-1.0613590441863001,1.0,0.6976032813109339,0.7322555445690242,1.0,-0.30239671868906615,-0.2677444554309758,0.0,-0.03465226325809034
phase_084,2026200005,command_constrained,0.3,2.0,logistics,False,,0.004089421999999954,0.01296860699999991,0.013295949999999945,0.03821160800000001,-0.01458688500000005,0.761686961,0.815353574,-0.053666612999999974,logistics,logistics,True,logistics,31225.901691956,31225.901691956,40995.715141352,38297.375136675,0.0,2698.3400046769966,0.0,0.06808619294782725,-0.06808619294782725,0.8153535739856205,0.7616869612907112,0.8153535739856205,0.7616869612907112,-0.053666612694909244,0.0,-0.053666612694909244,0.0
phase_084,2026200006,command_constrained,0.3,2.0,logistics,True,105.0,1.3479999999566061e-06,2.4680000000332214e-06,0.026229530999999917,0.05197432600000007,-0.25955119000000004,0.741321901,0.986850464,-0.24552856300000003,logistics,logistics,True,logistics,28152.598662456,37337.336612306,37976.213316278,37834.847290225,-9184.737949849998,141.3660260530014,-0.2823541424103078,0.003729434432739915,-0.28608357684304775,0.9868504642267305,0.7413219013700021,0.7440917746146024,0.9831769244960987,-0.24552856285672842,-0.2427586896121281,-0.0036735397306317807,0.0009036664860314625
phase_084,2026200007,command_constrained,0.3,2.0,logistics,False,,0.006158223000000018,0.027967827999999972,0.04933920199999997,0.03527710100000003,-0.04629029200000001,1.0,0.784214493,0.215785507,logistics,logistics,True,logistics,66789.797037635,25563.059611344,35656.499478723,32597.025214425,41226.737426291,3059.474264298002,0.960402004469543,0.0897104106941035,0.8706915937754396,0.7842144932916059,1.0,1.0,0.7169256653081727,0.21578550670839414,0.21578550670839414,-0.06728882798343316,0.06728882798343316
phase_084,2026200008,command_constrained,0.3,2.0,logistics,True,14.0,0.003504390000000024,0.011917417000000041,0.014888926000000025,0.009377018999999986,-0.08756664400000003,0.855451903,1.0,-0.14454809700000004,logistics,logistics,True,logistics,30657.07411773,66084.514388647,35837.285527388,33302.230612374,-35427.440270917,2535.0549150139996,-0.7680710049588549,0.07336446650571135,-0.8414354714645663,1.0,0.8554519034177654,0.920571191598765,1.0,-0.14454809658223455,-0.07942880840123501,0.0,-0.06511928818099955
phase_084,2026200009,command_constrained,0.3,2.0,logistics,False,,2.2069999999763112e-06,0.012875764999999983,0.0337268329999999,0.03350337999999997,0.04043992799999996,0.746758895,0.804220358,-0.05746146299999999,logistics,logistics,True,logistics,28954.783979405,28954.783979405,38773.939187238,36003.545165982,0.0,2770.3940212559974,0.0,0.07413094008515735,-0.07413094008515735,0.8042203579097251,0.7467588949263927,0.8042203579097251,0.7467588949263927,-0.057461462983332434,0.0,-0.057461462983332434,0.0
phase_084,2026200010,command_constrained,0.3,2.0,logistics,False,,0.010378243999999981,0.03459104700000004,0.0512356530000001,0.07001090799999998,0.08904484599999996,0.930558738,0.999999995,-0.06944125700000003,logistics,logistics,True,logistics,35110.585261174,35110.585261174,37730.649154164,35110.585431176,0.0,2620.0637229880012,0.0,0.07197007483864391,-0.07197007483864391,0.9999999951580983,0.9305587380093924,0.9999999951580983,0.9305587380093924,-0.06944125714870597,0.0,-0.06944125714870597,0.0
phase_084,2026200011,command_constrained,0.3,2.0,logistics,True,14.0,0.003918735000000062,0.012426401000000031,0.049977099999999997,0.03574451199999995,0.17989541399999998,1.0,0.952955942,0.047044058,logistics,logistics,True,logistics,41265.420780038,32357.365517621,37578.489676206,33954.733983899,8908.055262417001,3623.7556923070006,0.24318320282946543,0.10140351945118557,0.14177968337827984,0.9529559422543126,1.0,1.0,0.8610608301831002,0.04704405774568743,0.04704405774568743,-0.09189511207121237,0.09189511207121237
phase_009,2026200004,forcegen_constrained,0.15,0.25,logistics,False,,8.160000000145828e-07,0.010407659000000069,0.01377229999999996,0.02050569899999999,-0.0012123929999999783,0.77196348,0.788001203,-0.016037722999999948,logistics,logistics,True,logistics,26112.249663566,26112.249663566,33825.757738959,33137.322100407,0.0,688.4356385520005,0.0,0.02056237247615442,-0.02056237247615442,0.7880012025246084,0.7719634801703518,0.7880012025246084,0.7719634801703518,-0.0160377223542566,0.0,-0.0160377223542566,0.0
phase_009,2026200005,forcegen_constrained,0.15,0.25,logistics,False,,0.0003588520000000761,0.0012255749999999788,0.004485833999999911,0.06196104899999999,0.01917034800000006,0.792023518,0.807247532,-0.015224013999999952,logistics,logistics,True,logistics,29336.361810107,29621.099971608,37039.76098697,36693.949259779,-284.73816150100174,345.8117271910014,-0.009659180253904836,0.009380085759403555,-0.01903926601330839,0.8072475317906515,0.7920235181978378,0.7994877194170864,0.7997108831784371,-0.015224013592813668,-0.007759812373565045,-0.0075366486122143694,7.244739296574654e-05
phase_086,2026200001,command_constrained,0.4,0.25,command,True,21.0,0.0027031499999999875,0.0012959219999999494,0.01714400199999999,-0.0005015680000000078,-0.20547499199999997,0.990175178,0.814572778,0.17560239999999994,logistics,logistics,True,logistics,35400.147890872,30947.343162118,35751.399006125,37992.115619848,4452.804728754003,-2240.7166137230015,0.13442884529746205,-0.06078925309765624,0.19521809839511828,0.8145727779884507,0.9901751784540566,0.9317761675893118,0.8656260740122657,0.17560240046560582,0.11720338960086107,0.05105329602381492,0.007345714840929829
phase_086,2026200002,command_constrained,0.4,0.25,command,True,21.0,0.0005317670000000163,0.001503887000000037,0.00605938100000003,0.02142158400000005,-0.041366126999999975,0.976704717,1.0,-0.023295283000000055,logistics,logistics,True,logistics,38208.9556075,74943.496788683,39120.273429455,38686.715777242,-36734.541181183,433.5576522129995,-0.6736645253323102,0.011144555109662141,-0.6848090804419724,1.0,0.9767047174760072,0.9876505368795597,1.0,-0.023295282523992822,-0.012349463120440274,0.0,-0.010945819403552548
phase_086,2026200003,command_constrained,0.4,0.25,logistics,True,21.0,1.7810000000340054e-06,0.001786142000000046,9.141999999906503e-06,-0.004329394999999958,-0.02331296999999999,0.779588592,0.791607591,-0.01201899900000003,logistics,logistics,True,logistics,28028.457898152,28028.457898152,35952.8836117,35407.010011687,0.0,545.8736000130011,0.0,0.015299469215659932,-0.015299469215659932,0.7916075909516358,0.7795885915818672,0.7916075909516358,0.7795885915818672,-0.01201899936976858,0.0,-0.01201899936976858,0.0
phase_086,2026200005,command_constrained,0.4,0.25,command,True,14.0,2.8790000000666893e-06,0.000741899999999962,-0.013559173000000091,0.04612065399999998,0.03272027200000005,0.621193025,1.0,-0.37880697500000005,logistics,logistics,True,logistics,24299.293055356,69695.599570562,39117.137629682,36792.953547398,-45396.306515206,2324.184082284002,-1.053689924370988,0.06125432636419048,-1.1149442507351786,1.0,0.6211930250468467,0.6604333360748759,1.0,-0.3788069749531533,-0.33956666392512413,0.0,-0.03924031102802916
phase_086,2026200006,command_constrained,0.4,0.25,command,True,21.0,0.00045814799999999156,0.0017880270000000253,0.001076680000000052,-0.0028313629999999756,-0.011414908000000001,1.0,1.0,0.0,logistics,logistics,True,logistics,68885.502910893,66890.858510295,35385.200711126,34778.015974553,1994.644400598001,607.1847365729991,0.029383434495191978,0.017308211431927335,0.012075223063264643,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
