subset,n,mean_observed_effect,median_observed_effect,mean_production_only_effect,median_production_only_effect,mean_demand_only_effect,median_demand_only_effect,mean_residual_nonadditivity,median_residual_nonadditivity,production_only_negative_fraction,demand_only_negative_fraction
all_common_logistics,1404,-0.06336243113790994,-0.0481553013709467,-0.004997706842494312,0.0,-0.060997789618834994,-0.04077971727154689,0.002633065323419367,0.0,0.15313390313390313,0.8155270655270656
observed_penalty,1174,-0.09435587604669564,-0.05849129706146805,-0.023952320676214,0.0,-0.07084781374710397,-0.05091330733129096,0.0004442583766223286,0.0,0.18313458262350937,0.889267461669506
h30_effective_penalty,823,-0.0822570081429633,-0.05337609449180214,-0.030089683113559123,0.0,-0.05338017775123847,-0.03938825218363806,0.0012128527218343036,0.0,0.22114216281895505,0.8772782503037667
