cell_id,factor_structure,factor_capacity_level,factor_support_intensity,seed,horizon_days,control_capability,withdrawn_capability,supported_capability,supported_vs_control,retained_vs_control,dependency_gap
phase_002,forcegen_constrained,0.1,0.25,2026200000,7,0.867894486,0.875736273,0.876961731,0.009067245000000002,0.007841787000000044,0.001225457999999957
phase_002,forcegen_constrained,0.1,0.25,2026200000,30,0.866305989,0.802274549,0.806255647,-0.060050342000000034,-0.06403144000000005,0.003981098000000016
phase_002,forcegen_constrained,0.1,0.25,2026200000,90,0.832195342,0.741195418,0.74658596,-0.08560938200000001,-0.09099992400000001,0.005390541999999998
phase_002,forcegen_constrained,0.1,0.25,2026200000,180,0.839252861,0.69624048,0.701057521,-0.13819534,-0.1430123809999999,0.004817040999999911
phase_002,forcegen_constrained,0.1,0.25,2026200000,360,0.558588152,0.616333805,0.620106245,0.061518092999999996,0.05774565300000001,0.003772439999999988
phase_002,forcegen_constrained,0.1,0.25,2026200001,7,0.888102627,0.887051147,0.887492778,-0.0006098489999999401,-0.0010514799999999935,0.0004416310000000534
phase_002,forcegen_constrained,0.1,0.25,2026200001,30,0.865620482,0.846127517,0.84792431,-0.017696171999999954,-0.019492964999999973,0.0017967930000000187
phase_002,forcegen_constrained,0.1,0.25,2026200001,90,0.850569353,0.820964632,0.85377368,0.0032043269999999513,-0.029604721,0.03280904799999995
phase_002,forcegen_constrained,0.1,0.25,2026200001,180,0.764614798,0.85127769,0.855532885,0.09091808700000004,0.08666289199999999,0.004255195000000045
phase_002,forcegen_constrained,0.1,0.25,2026200001,360,0.731066842,0.728805008,0.640917214,-0.09014962800000004,-0.002261834000000018,-0.08788779400000002
phase_002,forcegen_constrained,0.1,0.25,2026200002,7,0.862425875,0.828189399,0.828683176,-0.03374269900000004,-0.034236476000000016,0.000493776999999973
phase_002,forcegen_constrained,0.1,0.25,2026200002,30,0.805413463,0.800781024,0.805410564,-2.899000000056162e-06,-0.004632439000000099,0.004629540000000043
phase_002,forcegen_constrained,0.1,0.25,2026200002,90,0.729545149,0.751897938,0.759708874,0.030163724999999975,0.02235278900000004,0.007810935999999935
phase_002,forcegen_constrained,0.1,0.25,2026200002,180,0.5353503,0.706520437,0.702749209,0.1673989090000001,0.17117013700000006,-0.00377122799999996
