cell_id,support_profile,forcegen_mult,logistics_mult,command_mult,air_intensity,air_bonus,air_cost_per_contact,logistics_rate,logistics_capacity,logistics_cost_per_unit,command_reliability_boost,command_latency_reduction_fraction,command_floor_hours,command_cost_per_formation_day,forcegen_training_rate_boost,forcegen_cost_per_incremental_trainee
cmd_07,command_heavy,0.6,1.2,1.2,0.08,0.30,600,100,200,8,0.55,0.55,0.5,240,0.0015,80
cmd_08,command_heavy,0.7,0.7,1.6,0.08,0.30,600,100,200,8,0.55,0.55,0.5,240,0.0015,80
cmd_09,command_heavy,0.8,0.8,0.8,0.08,0.30,600,100,200,8,0.55,0.55,0.5,240,0.0015,80
cmd_10,command_heavy,0.4,1.0,1.0,0.08,0.30,600,100,200,8,0.55,0.55,0.5,240,0.0015,80
fg_01,forcegen_heavy,1.4,1.4,1.4,0.08,0.30,600,100,200,8,0.05,0.05,1.0,30,0.035,120
fg_02,forcegen_heavy,1.0,1.0,1.0,0.08,0.30,600,100,200,8,0.05,0.05,1.0,30,0.035,120
fg_03,forcegen_heavy,0.6,0.6,0.6,0.08,0.30,600,100,200,8,0.05,0.05,1.0,30,0.035,120
fg_04,forcegen_heavy,0.4,1.3,1.3,0.08,0.30,600,100,200,8,0.05,0.05,1.0,30,0.035,120
fg_05,forcegen_heavy,1.3,0.4,1.3,0.08,0.30,600,100,200,8,0.05,0.05,1.0,30,0.035,120
fg_06,forcegen_heavy,1.3,1.3,0.4,0.08,0.30,600,100,200,8,0.05,0.05,1.0,30,0.035,120
fg_07,forcegen_heavy,0.6,1.2,1.2,0.08,0.30,600,100,200,8,0.05,0.05,1.0,30,0.035,120
fg_08,forcegen_heavy,0.7,0.7,1.6,0.08,0.30,600,100,200,8,0.05,0.05,1.0,30,0.035,120
fg_09,forcegen_heavy,0.8,0.8,0.8,0.08,0.30,600,100,200,8,0.05,0.05,1.0,30,0.035,120
fg_10,forcegen_heavy,0.4,1.0,1.0,0.08,0.30,600,100,200,8,0.05,0.05,1.0,30,0.035,120
