blind_id,source_title,publisher,source_url_or_archive_ref,source_locator_hint,target_district_id,target_district_name,sampling_date_start,sampling_date_end,coder_date_start,coder_date_end,actor_id,observable,value_or_category,spatial_scope,temporal_precision,confidence,coding_rationale,second_coder,second_coder_notes
ovl-89f5d9dbe8d1,Pashupati businessmen scared over Maoist blockade,Times of India / TNN,https://timesofindia.indiatimes.com/world/rest-of-world/pashupati-businessmen-scared-over-maoist-blockade/articleshow/835271.cms,Inspect the September 2 2004 article for a dated actor-specific control/presence/access claim in the target district.,NP-D03,Ilam,2004-09-01,2004-09-07,,,,,,,,,,,
ovl-a1b9152aa684,"Timeline Terrorist Activities, Province No. 1 - October 2006","SATP; item attributed to Nepal News",https://satp.org/terrorist-activity/nepal-na-provinceno1-Oct-2006,Inspect the October 9 item for a dated actor-specific control/presence/access claim in the target district. Do not assume SATP and the attributed underlying source are independent.,NP-D06,Sunsari,2006-10-09,2006-10-11,,,,,,,,,,,
