assay,seed_or_case,focal_or_pair,initial_prof_or_replicate,staffing_or_quality,parent_standard_or_initial_experience,start_membership_or_turnover,time_or_post_experience,professionalism_or_capability,intelligence_or_loss_actor,remaining_membership_or_loss_defender,cumulative_disrupted
police,2026093200,5,0.10000000000000001,0.50000000000000000,0.58299999999999996,48888.88888888887595385,14.000000,0.16556194595609375,0.04110607263946908,48863.70575381958042271,55.39395879808586187
police,2026093200,5,0.10000000000000001,0.50000000000000000,0.58299999999999996,48888.88888888887595385,28.000000,0.22167900673173330,0.08056716846628609,48813.82144646176311653,163.82908130714838535
police,2026093200,5,0.10000000000000001,0.50000000000000000,0.58299999999999996,48888.88888888887595385,56.000000,0.31082499770565963,0.15480803324034764,48619.16565280653594527,578.53305597618441425
police,2026093200,5,0.10000000000000001,0.50000000000000000,0.58299999999999996,48888.88888888887595385,112.000000,0.42398538538370700,0.28313997078781655,47898.03987478670751443,2078.74735964093224538
police,2026093200,5,0.10000000000000001,1.00000000000000000,0.58299999999999996,48888.88888888887595385,14.000000,0.16556194595609375,0.04997585969956253,48853.88503587254672311,65.21467674511252710
police,2026093200,5,0.10000000000000001,1.00000000000000000,0.58299999999999996,48888.88888888887595385,28.000000,0.22167900673173330,0.09802068158838362,48783.93246731031103991,193.71806045858841117
police,2026093200,5,0.10000000000000001,1.00000000000000000,0.58299999999999996,48888.88888888887595385,56.000000,0.31082499770565963,0.18848721581602734,48507.51226305376621895,690.18644572894856992
police,2026093200,5,0.10000000000000001,1.00000000000000000,0.58299999999999996,48888.88888888887595385,112.000000,0.42398538538370700,0.34248741210848355,47478.50988096062792465,2498.27735346700364971
police,2026093200,5,0.10000000000000001,1.50000000000000000,0.58299999999999996,48888.88888888887595385,14.000000,0.16556194595609375,0.04997585969956253,48853.88503587254672311,65.21467674511252710
police,2026093200,5,0.10000000000000001,1.50000000000000000,0.58299999999999996,48888.88888888887595385,28.000000,0.22167900673173330,0.09802068158838362,48783.93246731031103991,193.71806045858841117
police,2026093200,5,0.10000000000000001,1.50000000000000000,0.58299999999999996,48888.88888888887595385,56.000000,0.31082499770565963,0.18848721581602734,48507.51226305376621895,690.18644572894856992
police,2026093200,5,0.10000000000000001,1.50000000000000000,0.58299999999999996,48888.88888888887595385,112.000000,0.42398538538370700,0.34248741210848355,47478.50988096062792465,2498.27735346700364971
police,2026093200,5,0.50000000000000000,0.50000000000000000,0.58299999999999996,48888.88888888887595385,14.000000,0.50793775532099983,0.04542991864302737,48859.11736457054939819,59.98234804711979962
police,2026093200,5,0.50000000000000000,0.50000000000000000,0.58299999999999996,48888.88888888887595385,28.000000,0.51473199382741952,0.08817599250925667,48801.31021011335542426,176.34031765553766036
police,2026093200,5,0.50000000000000000,0.50000000000000000,0.58299999999999996,48888.88888888887595385,56.000000,0.52552513081992080,0.16624464150271367,48583.50350845118373400,614.19520033153264649
police,2026093200,5,0.50000000000000000,0.50000000000000000,0.58299999999999996,48888.88888888887595385,112.000000,0.53922575328191069,0.29622572749414844,47813.19199735652364325,2163.59523707111839030
police,2026093200,5,0.50000000000000000,1.00000000000000000,0.58299999999999996,48888.88888888887595385,14.000000,0.50793775532099983,0.05852370129978302,48842.90322513863793574,76.19648747902810726
police,2026093200,5,0.50000000000000000,1.00000000000000000,0.58299999999999996,48888.88888888887595385,28.000000,0.51473199382741952,0.11288365667245304,48754.13482964274589904,223.51569812615593946
police,2026093200,5,0.50000000000000000,1.00000000000000000,0.58299999999999996,48888.88888888887595385,56.000000,0.52552513081992080,0.21027365377246221,48423.72423465170868440,773.97447413100383073
police,2026093200,5,0.50000000000000000,1.00000000000000000,0.58299999999999996,48888.88888888887595385,112.000000,0.53922575328191069,0.36612839686867255,47285.63681407156400383,2691.15042035606575155
police,2026093200,5,0.50000000000000000,1.50000000000000000,0.58299999999999996,48888.88888888887595385,14.000000,0.50793775532099983,0.05852370129978302,48842.90322513863793574,76.19648747902810726
police,2026093200,5,0.50000000000000000,1.50000000000000000,0.58299999999999996,48888.88888888887595385,28.000000,0.51473199382741952,0.11288365667245304,48754.13482964274589904,223.51569812615593946
police,2026093200,5,0.50000000000000000,1.50000000000000000,0.58299999999999996,48888.88888888887595385,56.000000,0.52552513081992080,0.21027365377246221,48423.72423465170868440,773.97447413100383073
police,2026093200,5,0.50000000000000000,1.50000000000000000,0.58299999999999996,48888.88888888887595385,112.000000,0.53922575328191069,0.36612839686867255,47285.63681407156400383,2691.15042035606575155
police,2026093200,5,0.90000000000000002,0.50000000000000000,0.58299999999999996,48888.88888888887595385,14.000000,0.85031356468590591,0.04973416077948467,48854.17380840575788170,64.92590421190583072
police,2026093200,5,0.90000000000000002,0.50000000000000000,0.58299999999999996,48888.88888888887595385,28.000000,0.80778498092310580,0.09572109572677079,48787.93566438234120142,189.71486338656404769
police,2026093200,5,0.90000000000000002,0.50000000000000000,0.58299999999999996,48888.88888888887595385,56.000000,0.74022526393418198,0.17752216599256343,48546.00426546989183407,651.69444331282988969
police,2026093200,5,0.90000000000000002,0.50000000000000000,0.58299999999999996,48888.88888888887595385,112.000000,0.65446612118011438,0.30905470533294338,47725.86831253652053420,2250.91892189111968037
police,2026093200,5,0.90000000000000002,1.00000000000000000,0.58299999999999996,48888.88888888887595385,14.000000,0.85031356468590591,0.06699421003406458,48830.53184613074699882,88.56786648691924313
police,2026093200,5,0.90000000000000002,1.00000000000000000,0.58299999999999996,48888.88888888887595385,28.000000,0.80778498092310580,0.12749875027217861,48721.01199796704895562,256.63852980185174602
police,2026093200,5,0.90000000000000002,1.00000000000000000,0.58299999999999996,48888.88888888887595385,56.000000,0.74022526393418198,0.23145839365271803,48333.15061592204438057,864.54809286067620633
police,2026093200,5,0.90000000000000002,1.00000000000000000,0.58299999999999996,48888.88888888887595385,112.000000,0.65446612118011438,0.38885182749874819,47084.46388220057997387,2892.32335222705751221
police,2026093200,5,0.90000000000000002,1.50000000000000000,0.58299999999999996,48888.88888888887595385,14.000000,0.85031356468590591,0.06699421003406458,48830.53184613074699882,88.56786648691924313
police,2026093200,5,0.90000000000000002,1.50000000000000000,0.58299999999999996,48888.88888888887595385,28.000000,0.80778498092310580,0.12749875027217861,48721.01199796704895562,256.63852980185174602
police,2026093200,5,0.90000000000000002,1.50000000000000000,0.58299999999999996,48888.88888888887595385,56.000000,0.74022526393418198,0.23145839365271803,48333.15061592204438057,864.54809286067620633
police,2026093200,5,0.90000000000000002,1.50000000000000000,0.58299999999999996,48888.88888888887595385,112.000000,0.65446612118011449,0.38885182749874819,47084.46388220057997387,2892.32335222705751221
police,2026093201,32,0.10000000000000001,0.50000000000000000,0.58299999999999996,41555.55555555555474712,14.000000,0.16587394025748989,0.02029845521933871,41548.46684934713266557,41.74161593739772513
police,2026093201,32,0.10000000000000001,0.50000000000000000,0.58299999999999996,41555.55555555555474712,28.000000,0.22225804928677376,0.04058189461818573,41534.05278594457195140,123.33879556752212636
police,2026093201,32,0.10000000000000001,0.50000000000000000,0.58299999999999996,41555.55555555555474712,56.000000,0.31182826563672550,0.08110197267389030,41474.93364182852383237,435.09778224213624753
police,2026093201,32,0.10000000000000001,0.50000000000000000,0.58299999999999996,41555.55555555555474712,112.000000,0.42552715771064564,0.15827513561414386,41237.31972175877308473,1567.72365840755696809
police,2026093201,32,0.10000000000000001,1.00000000000000000,0.58299999999999996,41555.55555555555474712,14.000000,0.16587394025748989,0.02936584320868096,41543.08083561981038656,47.12762966472008230
police,2026093201,32,0.10000000000000001,1.00000000000000000,0.58299999999999996,41555.55555555555474712,28.000000,0.22225804928677376,0.05881424302409433,41517.39621526026894571,139.99536625182375360
police,2026093201,32,0.10000000000000001,1.00000000000000000,0.58299999999999996,41555.55555555555474712,56.000000,0.31182826563672550,0.11782168781534486,41410.13197554570797365,499.89944852494602401
police,2026093201,32,0.10000000000000001,1.00000000000000000,0.58299999999999996,41555.55555555555474712,112.000000,0.42552715771064564,0.22860226555447055,40974.49653920426499099,1830.54684096205619426
police,2026093201,32,0.10000000000000001,1.50000000000000000,0.58299999999999996,41555.55555555555474712,14.000000,0.16587394025748986,0.02936584320868096,41543.08083561981038656,47.12762966472008230
police,2026093201,32,0.10000000000000001,1.50000000000000000,0.58299999999999996,41555.55555555555474712,28.000000,0.22225804928677376,0.05881424302409433,41517.39621526026894571,139.99536625182375360
police,2026093201,32,0.10000000000000001,1.50000000000000000,0.58299999999999996,41555.55555555555474712,56.000000,0.31182826563672550,0.11782168781534486,41410.13197554570797365,499.89944852494602401
police,2026093201,32,0.10000000000000001,1.50000000000000000,0.58299999999999996,41555.55555555555474712,112.000000,0.42552715771064564,0.22860226555447055,40974.49653920426499099,1830.54684096205619426
police,2026093201,32,0.50000000000000000,0.50000000000000000,0.58299999999999996,41555.55555555555474712,14.000000,0.50824974962239600,0.02471667927554577,41546.01578013583639404,44.19268514869311559
police,2026093201,32,0.50000000000000000,0.50000000000000000,0.58299999999999996,41555.55555555555474712,28.000000,0.51531103638246012,0.04852562947144257,41527.25619056441064458,130.13539094767747883
