factor_target,factor_severity,factor_assistance_mode,factor_intensity,n,mean_delta_composite_capability_h30,median_delta_composite_capability_h30,delta_composite_capability_h30_boot95_lo,delta_composite_capability_h30_boot95_hi,mean_delta_q_feasible_h360,median_delta_q_feasible_h360,delta_q_feasible_h360_boot95_lo,delta_q_feasible_h360_boot95_hi,mean_relevant_delta_indigenous_h360,median_relevant_delta_indigenous_h360,relevant_delta_indigenous_h360_boot95_lo,relevant_delta_indigenous_h360_boot95_hi,mean_relevant_delta_demand_h360,median_relevant_delta_demand_h360,relevant_delta_demand_h360_boot95_lo,relevant_delta_demand_h360_boot95_hi,mean_relevant_delta_coverage_capped_h360,median_relevant_delta_coverage_capped_h360,relevant_delta_coverage_capped_h360_boot95_lo,relevant_delta_coverage_capped_h360_boot95_hi,mean_delta_cum_interval_donor_cost_h360,median_delta_cum_interval_donor_cost_h360,delta_cum_interval_donor_cost_h360_boot95_lo,delta_cum_interval_donor_cost_h360_boot95_hi
command,moderate,development,0.5,12,0.006271258333333283,0.0068221404999999,0.005083611685416614,0.006923085022916632,-0.008527252083333325,0.0,-0.04796516814166664,0.02503176499999997,1.0675205770833331,0.9343003639999997,0.09704784118333352,2.03082642599375,-0.7083333333333334,0.0,-2.0833333333333335,0.5833333333333334,0.17144653859651937,0.19677064732512078,0.12826138312497035,0.20609833916145925,1063800.0,1063800.0,1063800.0,1063800.0
command,moderate,development,1.0,12,0.008944820916666629,0.012577345999999951,0.003311291602083326,0.012728764658333277,-0.0601185165,0.0,-0.13411103163333332,0.02317484641666667,2.8355709391666664,1.7287796875000003,0.9237791395854169,4.923754193160415,-0.125,0.0,-1.9166666666666667,1.625,0.20186724564643582,0.23911747449999998,0.1462158066176171,0.24599658442538047,1522800.0,1522800.0,1522800.0,1522800.0
command,moderate,hybrid,0.5,12,0.0031919647499999825,0.003446826,0.002310191979166648,0.004041140506249975,-0.07763422266666664,-1.0345999999994415e-05,-0.14530696567291662,-0.016780467391666633,0.7596087178333333,0.568169894,-0.22328185391250005,1.766279051720833,0.2916666666666667,0.0,-1.2916666666666667,1.9583333333333333,0.0817134351796724,0.07117548165185184,0.07151985742692615,0.09423724595157706,834300.0,834300.0,834300.0,834300.0
command,moderate,hybrid,1.0,12,0.005259518833333265,0.00664738199999995,0.0036863218083332764,0.006610053924999918,0.056324628666666654,0.0,-0.024324858416666675,0.15102080241666666,2.0626798510833333,0.9187792520000002,0.40799713192083314,3.8065197598625,0.8333333333333334,0.0,-1.0833333333333333,2.6666666666666665,0.15334131068189194,0.18016777261538464,0.1069706017473574,0.1951654652993442,1063800.0,1063800.0,1063800.0,1063800.0
command,moderate,none,0.0,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
command,moderate,substitution,0.5,12,0.00031818208333334367,0.0,-3.3196499999970286e-05,0.0009993967499999919,0.009551888333333336,0.0,-0.05454740017291664,0.08988587050416667,-0.5369199025833332,-0.37599939199999977,-0.9968422313479167,-0.13193241261875005,-1.2083333333333333,-0.75,-2.1666666666666665,-0.3333333333333333,0.002964579076551311,0.0,-0.0022696872086674447,0.009916001454331753,604800.0,604800.0,604800.0,604800.0
command,moderate,substitution,1.0,12,-0.0038165928333333383,0.0,-0.012433344672916666,0.004710041249999978,0.07191079591666663,0.03352496949999995,-0.009619385437500017,0.16100341630833326,0.12918331874999997,-0.2226194549999999,-0.81298797841875,1.124620676214583,0.20833333333333334,-0.5,-1.7916666666666667,2.3333333333333335,0.001746082982356572,-2.0029090909090552e-05,-0.007090398697522354,0.013144322493424685,604800.0,604800.0,604800.0,604800.0
command,severe,development,0.5,12,0.005985920833333304,0.0064659929999999494,0.004819340597916645,0.006670426895833309,0.027351648416666676,0.0,-0.008507963,0.09021713908333334,0.5364813733333333,0.477744385,0.23747572175,0.8503458083562498,0.875,0.75,0.4166666666666667,1.375,0.12185853558666666,0.10610156733333331,0.10255639668444443,0.1551426420311111,1063800.0,1063800.0,1063800.0,1063800.0
command,severe,development,1.0,12,0.013245181916666607,0.01359253949999995,0.01286045190624991,0.013591297979166606,-0.02036844724999999,0.0,-0.1143806315,0.09234354735208328,2.0331100198333334,1.761191698,1.1093214366979165,3.0818728657374996,1.625,1.25,0.3333333333333333,3.0833333333333335,0.29819692275933934,0.32121103033333337,0.22768029455418065,0.356557807732696,1522800.0,1522800.0,1522800.0,1522800.0
command,severe,hybrid,0.5,12,0.003161221833333307,0.0033601445,0.0019054394333333227,0.004488479206249989,0.014017879999999991,0.0,-0.03497724508333334,0.062211681166666664,0.036494925999999976,0.0,-0.12176006416666668,0.1871011960979163,-0.25,0.0,-0.9166666666666666,0.3333333333333333,0.02361300454184519,0.02955060619444444,0.011595169394897695,0.034548565908369404,834300.0,834300.0,834300.0,834300.0
