summary_type,group,n,mean_headroom,median_headroom,mean_delta_capability_h30,mean_delta_q_feasible_h360,persistent_migration_fraction
target,command,38,0.5407122135491742,0.5789057871651757,0.003536205315789477,0.05554941128947368,1.0
target,forcegen,46,0.5358123521966879,0.5987360711668437,2.0780434782350654e-07,0.0,1.0
target,logistics,42,0.7469729545370724,0.784111601597345,0.017283747047619008,-0.18140213019047616,0.0
quartile,Q1,32,0.12760359244585714,0.10767700937065125,0.01270386059374998,-0.10803333218749998,0.46875
quartile,Q2,31,0.511886288366236,0.5201814410269421,0.002313030322580638,-0.010028533064516128,0.967741935483871
quartile,Q3,31,0.6624040808853631,0.6356151903487829,0.0030418113225806464,0.039779403741935476,0.9354838709677419
quartile,Q4,32,1.127530625043947,0.8732284080801127,0.008993097093749977,-0.09291319374999998,0.3125
