cell_id,scenario,mode,seed,source_cell_id,source_structure,source_capacity,source_intensity,delta_capability_h7,delta_q_h7,bottleneck_on_h7,bottleneck_off_h7,logistics_demand_on_h7,logistics_demand_off_h7,logistics_indigenous_on_h7,logistics_indigenous_off_h7,delta_capability_h30,delta_q_h30,bottleneck_on_h30,bottleneck_off_h30,logistics_demand_on_h30,logistics_demand_off_h30,logistics_indigenous_on_h30,logistics_indigenous_off_h30,delta_capability_h90,delta_q_h90,bottleneck_on_h90,bottleneck_off_h90,logistics_demand_on_h90,logistics_demand_off_h90,logistics_indigenous_on_h90,logistics_indigenous_off_h90,delta_capability_h180,delta_q_h180,bottleneck_on_h180,bottleneck_off_h180,logistics_demand_on_h180,logistics_demand_off_h180,logistics_indigenous_on_h180,logistics_indigenous_off_h180,delta_capability_h360,delta_q_h360,bottleneck_on_h360,bottleneck_off_h360,logistics_demand_on_h360,logistics_demand_off_h360,logistics_indigenous_on_h360,logistics_indigenous_off_h360
ablation_m1_demand_clamped,M1,demand_clamped,2026240007,phase_054,logistics_constrained,0.4,1.0,0.0,0.0,logistics,logistics,286155.780124114,286155.780124114,247520.508722691,247520.508722691,0.0,0.0,logistics,logistics,286155.780124114,286155.780124114,247520.508722691,247520.508722691,0.0,0.0,logistics,logistics,286155.780124114,286155.780124114,247520.508722691,247520.508722691,0.0,0.0,logistics,logistics,286155.780124114,286155.780124114,247520.508722691,247520.508722691,0.0,0.0,logistics,logistics,286155.780124114,286155.780124114,247520.508722691,247520.508722691
ablation_m1_normal,M1,normal,2026240001,phase_054,logistics_constrained,0.4,1.0,0.133326913,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.823496735,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.746524595,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.578289689,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805,0.0,0.0,logistics,logistics,284604.997193672,284604.997193672,226289.944903805,226289.944903805
ablation_m1_demand_clamped,M1,demand_clamped,2026240008,phase_054,logistics_constrained,0.4,1.0,0.0,0.0,logistics,logistics,266684.951326506,266684.951326506,210358.029222161,210358.029222161,0.0,0.0,logistics,logistics,266684.951326506,266684.951326506,210358.029222161,210358.029222161,0.0,0.0,logistics,logistics,266684.951326506,266684.951326506,210358.029222161,210358.029222161,0.0,0.0,logistics,logistics,266684.951326506,266684.951326506,210358.029222161,210358.029222161,0.0,0.0,logistics,logistics,266684.951326506,266684.951326506,210358.029222161,210358.029222161
ablation_m1_demand_clamped,M1,demand_clamped,2026240009,phase_054,logistics_constrained,0.4,1.0,0.0,0.0,logistics,logistics,285786.54516257,285786.54516257,248007.875190653,248007.875190653,0.0,0.0,logistics,logistics,285786.54516257,285786.54516257,248007.875190653,248007.875190653,0.0,0.0,logistics,logistics,285786.54516257,285786.54516257,248007.875190653,248007.875190653,0.0,0.0,logistics,logistics,285786.54516257,285786.54516257,248007.875190653,248007.875190653,0.0,0.0,logistics,logistics,285786.54516257,285786.54516257,248007.875190653,248007.875190653
ablation_m1_demand_clamped,M1,demand_clamped,2026240010,phase_054,logistics_constrained,0.4,1.0,0.03253766700000005,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.037415368999999976,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.041076942000000005,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.062061544999999996,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748,0.0,0.0,logistics,logistics,280324.234501324,280324.234501324,221794.450887748,221794.450887748
ablation_m1_demand_clamped,M1,demand_clamped,2026240011,phase_054,logistics_constrained,0.4,1.0,0.901333063,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721,0.0,0.0,forcegen,forcegen,330423.045026448,330423.045026448,244951.231906721,244951.231906721
ablation_m2_normal,M2,normal,2026240000,phase_110,balanced_capacity,0.4,1.0,0.08858834900000001,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.387555554,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.824630712,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.748862979,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051,0.0,0.0,forcegen,forcegen,292690.842154584,292690.842154584,221395.636635051,221395.636635051
ablation_m2_normal,M2,normal,2026240001,phase_110,balanced_capacity,0.4,1.0,0.036137920999999906,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,0.09129859699999998,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,0.108378961,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,0.11360457899999998,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943,0.12806410099999999,0.0,logistics,logistics,299645.083002328,299645.083002328,233190.323129943,233190.323129943
ablation_m2_normal,M2,normal,2026240002,phase_110,balanced_capacity,0.4,1.0,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127,0.0,0.0,logistics,logistics,311313.275198868,311313.275198868,257075.503614127,257075.503614127
ablation_m2_normal,M2,normal,2026240003,phase_110,balanced_capacity,0.4,1.0,0.04317587099999998,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,0.12292493699999996,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,0.15409361599999993,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,0.169178147,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441,0.22456790199999999,0.0,forcegen,forcegen,292091.359148867,292091.359148867,224732.424438441,224732.424438441
ablation_m2_normal,M2,normal,2026240004,phase_110,balanced_capacity,0.4,1.0,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104,0.0,0.0,forcegen,forcegen,277154.083716443,277154.083716443,196354.591067104,196354.591067104
ablation_m2_normal,M2,normal,2026240005,phase_110,balanced_capacity,0.4,1.0,0.03891157199999995,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,0.10065684799999997,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,0.11980601700000004,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,0.126059197,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493,0.14360182499999996,0.0,forcegen,forcegen,340820.582345974,340820.582345974,257992.808821493,257992.808821493
ablation_m1_normal,M1,normal,2026240002,phase_054,logistics_constrained,0.4,1.0,0.03331608899999994,0.0,logistics,logistics,322952.352937391,322952.352937391,256835.54638312,256835.54638312,0.08926472400000007,0.0,logistics,logistics,322952.352937391,322952.352937391,256835.54638312,256835.54638312,0.10599074200000003,0.0,logistics,logistics,322952.352937391,322952.352937391,256835.54638312,256835.54638312,0.10782716199999998,0.0,logistics,logistics,322952.352937391,322952.352937391,256835.54638312,256835.54638312,0.11323552199999998,0.0,logistics,logistics,322952.352937391,322952.352937391,256835.54638312,256835.54638312
ablation_m2_normal,M2,normal,2026240006,phase_110,balanced_capacity,0.4,1.0,0.04400240300000002,0.0,logistics,logistics,319109.530709529,319109.530709529,238148.969598845,238148.969598845,0.118340098,0.0,logistics,logistics,319109.530709529,319109.530709529,238148.969598845,238148.969598845,0.14772146099999994,0.0,logistics,logistics,319109.530709529,319109.530709529,238148.969598845,238148.969598845,0.16815478500000003,0.0,logistics,logistics,319109.530709529,319109.530709529,238148.969598845,238148.969598845,0.284700792,0.0,logistics,logistics,319109.530709529,319109.530709529,238148.969598845,238148.969598845
