factor_starting_structure,factor_intensity,interaction,order,n,mean_interaction_q,median_interaction_q,boot95_lo,boot95_hi
command_constrained,0.5,forcegen+logistics,2,16,0.0,0.0,0.0,0.0
command_constrained,0.5,forcegen+command,2,16,0.0,0.0,0.0,0.0
command_constrained,0.5,logistics+command,2,16,0.023693724749999992,-0.002810555999999964,-0.01626108126875,0.09555174910937501
command_constrained,0.5,forcegen+logistics+command,3,16,0.00032425712499999787,0.0,-1.3877787807814457e-17,0.0009727713750000005
command_constrained,1.0,forcegen+logistics,2,16,0.0,0.0,0.0,0.0
command_constrained,1.0,forcegen+command,2,16,0.0,0.0,0.0,0.0
command_constrained,1.0,logistics+command,2,16,-0.014096945999999996,-0.005322987999999973,-0.031638456023437504,0.0008058168781250087
command_constrained,1.0,forcegen+logistics+command,3,16,3.469446951953614e-18,0.0,-1.734723475976807e-17,2.7755575615628914e-17
forcegen_constrained,0.5,forcegen+logistics,2,16,0.000630957812499998,0.0,-0.015622569718749988,0.015319300093749983
forcegen_constrained,0.5,forcegen+command,2,16,0.012871817312500004,-4.839349999999354e-05,-0.010142815131250016,0.03512610378593751
forcegen_constrained,0.5,logistics+command,2,16,-0.018805895375000017,6.289499999950765e-06,-0.13031741445468753,0.06645805954531245
forcegen_constrained,0.5,forcegen+logistics+command,3,16,0.008560541374999994,0.00020534049999992865,-0.00500105999843748,0.022714306796874986
forcegen_constrained,1.0,forcegen+logistics,2,16,-0.03272617631250001,0.0,-0.10826378427343752,0.024546790643749997
forcegen_constrained,1.0,forcegen+command,2,16,0.031270100125000005,0.0,-0.034644582160937486,0.09713504460468747
forcegen_constrained,1.0,logistics+command,2,16,-0.06261460762500001,0.00033385700000000684,-0.18991911022656252,0.05604226884687497
forcegen_constrained,1.0,forcegen+logistics+command,3,16,-0.03037651943749998,-0.00044874400000005643,-0.08121225576718746,0.016095520834375
logistics_constrained,0.5,forcegen+logistics,2,16,0.004646328749999991,0.0,-0.00010519225000000382,0.013807511128124984
logistics_constrained,0.5,forcegen+command,2,16,-8.932618749999538e-05,0.0,-0.0003625139281249929,0.00017768743906251098
logistics_constrained,0.5,logistics+command,2,16,-0.002824046312499995,0.0,-0.01434586530625,0.008426299667187505
logistics_constrained,0.5,forcegen+logistics+command,3,16,-5.7778125000018665e-05,5.551115123125783e-17,-0.0006034000578125309,0.0003528853765625374
logistics_constrained,1.0,forcegen+logistics,2,16,-0.007105953124999988,0.0,-0.02219274399531248,0.0007440007546875215
logistics_constrained,1.0,forcegen+command,2,16,-0.007478003937500005,0.0,-0.022501786210937482,0.00027462087499998886
logistics_constrained,1.0,logistics+command,2,16,-0.017088174062499975,-0.0005319354999999693,-0.04569485712499997,0.005427631520312511
logistics_constrained,1.0,forcegen+logistics+command,3,16,0.007274291875000005,1.1102230246251565e-16,-0.0006178161109375264,0.02238888052656251
near_tie_low,0.5,forcegen+logistics,2,16,-0.0069015615624999985,0.0,-0.01399065225000001,2.6222000000002826e-05
near_tie_low,0.5,forcegen+command,2,16,0.0048674189375000065,0.0,-0.007647248249999999,0.020803798312500007
near_tie_low,0.5,logistics+command,2,16,-0.11806706212499998,-0.0014519855000000303,-0.31192637957968755,0.07838750568906239
near_tie_low,0.5,forcegen+logistics+command,3,16,0.00880395149999999,0.0,-0.009551481448437529,0.02543680556562502
near_tie_low,1.0,forcegen+logistics,2,16,0.02473018824999999,0.0,0.0006995890624999883,0.05391161541562495
near_tie_low,1.0,forcegen+command,2,16,0.011375202687500013,0.0,-0.0316297577921875,0.05594074546093751
near_tie_low,1.0,logistics+command,2,16,0.17172800568749996,0.100215947,0.06088404367343747,0.2922130161953125
near_tie_low,1.0,forcegen+logistics+command,3,16,-0.05612862962500001,-0.0028504920000000378,-0.09886432290625005,-0.015694960779687524
